number,name,status
1,PEP Purpose and Guidelines,
2,Procedure for Adding New Modules,
101,Doing Python Releases 101,
201,Lockstep Iteration,
102,Doing Python Micro Releases,
200,Python 2.0 Release Schedule,
160,Python 1.6 Release Schedule,
103,Collecting information about git,
100,Python Unicode Integration,
42,Feature Requests,
20,The Zen of Python,
9,Sample Plaintext PEP Template,
11,CPython platform support,
13,Python Language Governance,
12,Sample reStructuredText PEP Template,
10,Voting Guidelines,
8104,2023 Term Steering Council election,
8103,2022 Term Steering Council election,
8102,2021 Term Steering Council election,
8016,The Steering Council Model,
8101,2020 Term Steering Council election,
8100,January 2019 Steering Council election,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8013,The External Council Governance Model,
8012,The Community Governance Model,
8010,The Technical Leader Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
8000,Python Language Governance Proposal Overview,
8002,Open Source Governance Survey,
8001,Python Governance Voting Process,
3333,Python Web Server Gateway Interface v1.0.1,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3155,Qualified name for classes and functions,
3152,Cofunctions,
3154,Pickle protocol version 4,
3153,Asynchronous IO support,
3150,Statement local namespaces (aka “given” clause),
3151,Reworking the OS and IO exception hierarchy,
3149,ABI version tagged .so files,
3148,futures - execute computations asynchronously,
3147,PYC Repository Directories,
3142,Add a “while” clause to generator expressions,
3146,Merging Unladen Swallow into CPython,
3144,IP Address Manipulation Library for the Python Standard Library,
3141,A Type Hierarchy for Numbers,
3145,Asynchronous I/O For subprocess.Popen,
3143,Standard daemon process library,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3132,Extended Iterable Unpacking,
3137,Immutable Bytes and Mutable Buffer,
3138,String representation in Python 3000,
3136,Labeled break and continue,
3135,New Super,
3134,Exception Chaining and Embedded Tracebacks,
3133,Introducing Roles,
3129,Class Decorators,
3131,Supporting Non-ASCII Identifiers,
3128,BList: A Faster List-like Type,
3130,Access to Current Module/Class/Function,
3127,Integer Literal Support and Syntax,
3126,Remove Implicit String Concatenation,
3125,Remove Backslash Continuation,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
3123,Making PyObject_HEAD conform to standard C,
3120,Using UTF-8 as the default source encoding,
3121,Extension Module Initialization and Finalization,
3122,Delineation of the main module,
3119,Introducing Abstract Base Classes,
3118,Revising the buffer protocol,
3117,Postfix type declarations,
3116,New I/O,
3114,Renaming iterator.next() to iterator.__next__(),
3115,Metaclasses in Python 3000,
3113,Removal of Tuple Parameter Unpacking,
3111,Simple input built-in in Python 3000,
3110,Catching Exceptions in Python 3000,
3112,Bytes literals in Python 3000,
3109,Raising Exceptions in Python 3000,
3108,Standard Library Reorganization,
3107,Function Annotations,
3106,"Revamping dict.keys(), .values() and .items()",
3103,A Switch/Case Statement,
3105,Make print a function,
3102,Keyword-Only Arguments,
3104,Access to Names in Outer Scopes,
3101,Advanced String Formatting,
3100,Miscellaneous Python 3.0 Plans,
3003,Python Language Moratorium,
3002,Procedure for Backwards-Incompatible Changes,
3000,Python 3000,
801,Reserved,
3001,Procedure for reviewing and improving standard library modules,
3099,Things that will Not Change in Python 3000,
754,IEEE 754 Floating Point Special Values,
721,Using tarfile.data_filter for source distribution extraction,
720,Cross-compiling Python packages,
719,Python 3.13 Release Schedule,
718,Subscriptable functions,
714,Rename dist-info-metadata in the Simple API,
715,Disabling bdist_egg distribution uploads on PyPI,
713,Callable Modules,
712,Adding a “converter” parameter to dataclasses.field,
711,PyBI: a standard format for distributing Python Binaries,
709,Inlined comprehensions,
710,Recording the provenance of installed packages,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
706,Filter for tarfile.extractall,
707,A simplified signature for __exit__ and __aexit__,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
704,Require virtual environments by default for package installers,
703,Making the Global Interpreter Lock Optional in CPython,
702,Marking deprecations using the type system,
699,Remove private dict version field added in PEP 509,
701,Syntactic formalization of f-strings,
698,Override Decorator for Static Typing,
700,Additional Fields for the Simple API for Package Indexes,
696,Type defaults for TypeVarLikes,
697,Limited C API for Extending Opaque Types,
692,Using TypedDict for more precise **kwargs typing,
695,Type Parameter Syntax,
690,Lazy Imports,
693,Python 3.12 Release Schedule,
694,Upload 2.0 API for Python Package Repositories,
689,Unstable C API tier,
691,JSON-based Simple API for Python Package Indexes,
688,Making the buffer protocol accessible in Python,
687,Isolating modules in the standard library,
686,Make UTF-8 mode default,
685,Comparison of extra names for optional distribution dependencies,
684,A Per-Interpreter GIL,
681,Data Class Transforms,
680,tomllib: Support for Parsing TOML in the Standard Library,
682,Format Specifier for Signed Zero,
683,"Immortal Objects, Using a Fixed Refcount",
679,Allow parentheses in assert statements,
677,Callable Type Syntax,
676,PEP Infrastructure Process,
678,Enriching Exceptions with Notes,
675,Arbitrary Literal String Type,
673,Self Type,
674,Disallow using macros as l-values,
672,Unicode-related Security Considerations for Python,
671,Syntax for late-bound function argument defaults,
670,Convert macros to functions in the Python C API,
669,Low Impact Monitoring for CPython,
665,A file format to list Python dependencies for reproducibility of an application,
666,Reject Foolish Indentation,
668,Marking Python base environments as “externally managed”,
667,Consistent views of namespaces,
664,Python 3.11 Release Schedule,
662,Editable installs via virtual wheels,
658,Serve Distribution Metadata in the Simple Repository API,
659,Specializing Adaptive Interpreter,
663,"Standardizing Enum str(), repr(), and format() behaviors",
660,Editable installs for pyproject.toml based builds (wheel based),
661,Sentinel Values,
657,Include Fine Grained Error Locations in Tracebacks,
656,Platform Tag for Linux Distributions Using Musl,
655,Marking individual TypedDict items as required or potentially-missing,
654,Exception Groups and except*,
653,Precise Semantics for Pattern Matching,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
649,Deferred Evaluation Of Annotations Using Descriptors,
652,Maintaining the Stable ABI,
648,Extensible customizations of the interpreter at startup,
645,Allow writing optional types as,
643,Metadata for Package Source Distributions,
646,Variadic Generics,
642,Explicit Pattern Syntax for Structural Pattern Matching,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
647,User-Defined Type Guards,
644,Require OpenSSL 1.1.1 or newer,
640,Unused variable syntax,
639,Improving License Clarity with Better Package Metadata,
638,Syntactic Macros,
636,Structural Pattern Matching: Tutorial,
637,Support for indexing with keyword arguments,
635,Structural Pattern Matching: Motivation and Rationale,
634,Structural Pattern Matching: Specification,
633,Dependency specification in pyproject.toml using an exploded TOML table,
631,Dependency specification in pyproject.toml based on PEP 508,
632,Deprecate distutils module,
630,Isolating Extension Modules,
627,Recording installed projects,
628,Add,
629,Versioning PyPI’s Simple API,
624,Remove Py_UNICODE encoder APIs,
626,Precise line numbers for debugging and other tools.,
625,Filename of a Source Distribution,
623,Remove wstr from Unicode,
618,Add Optional Length-Checking To zip,
620,Hide implementation details from the C API,
621,Storing project metadata in pyproject.toml,
619,Python 3.10 Release Schedule,
622,Structural Pattern Matching,
613,Explicit Type Aliases,
614,Relaxing Grammar Restrictions On Decorators,
615,Support for the IANA Time Zone Database in the Standard Library,
611,The one million limit,
612,Parameter Specification Variables,
617,New PEG parser for CPython,
616,String methods to remove prefixes and suffixes,
608,Coordinated Python release,
610,Recording the Direct URL Origin of installed distributions,
609,Python Packaging Authority (PyPA) Governance,
607,Reducing CPython’s Feature Delivery Latency,
606,Python Compatibility Version,
602,Annual Release Cycle for Python,
603,Adding a frozenmap type to collections,
604,Allow writing union types as,
605,A rolling feature release stream for CPython,
595,Improving bugs.python.org,
596,Python 3.9 Release Schedule,
597,Add optional EncodingWarning,
598,Introducing incremental feature releases,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
601,Forbid return/break/continue breaking out of finally,
599,The manylinux2014 Platform Tag,
592,Adding “Yank” Support to the Simple API,
593,Flexible function and variable annotations,
594,Removing dead batteries from the standard library,
591,Adding a final qualifier to typing,
588,GitHub Issues Migration Plan,
586,Literal Types,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
590,Vectorcall: a fast calling protocol for CPython,
587,Python Initialization Configuration,
579,Refactoring C functions and methods,
580,The C call protocol,
585,Type Hinting Generics In Standard Collections,
581,Using GitHub Issues for CPython,
583,A Concurrency Memory Model for Python,
584,Add Union Operators To dict,
576,Rationalize Built-in function classes,
577,Augmented Assignment Expressions,
578,Python Runtime Audit Hooks,
582,Python local packages directory,
575,Unifying function/method classes,
574,Pickle protocol 5 with out-of-band data,
571,The manylinux2010 Platform Tag,
573,Module State Access from C Extension Methods,
572,Assignment Expressions,
564,Add new time functions with nanosecond resolution,
565,Show DeprecationWarning in __main__,
568,Generator-sensitivity for Context Variables,
569,Python 3.8 Release Schedule,
567,Context Variables,
566,Metadata for Python Software Packages 2.1,
570,Python Positional-Only Parameters,
560,Core support for typing module and generic types,
561,Distributing and Packaging Type Information,
563,Postponed Evaluation of Annotations,
562,Module __getattr__ and __dir__,
558,Defined semantics for locals(),
559,Built-in noop(),
557,Data Classes,
555,Context-local variables (contextvars),
556,Threaded garbage collection,
554,Multiple Interpreters in the Stdlib,
549,Instance Descriptors,
553,Built-in breakpoint(),
551,Security transparency in the Python runtime,
550,Execution Context,
548,More Flexible Loop Control,
552,Deterministic pycs,
545,Python Documentation Translations,
544,Protocols: Structural subtyping (static duck typing),
547,Running extension modules using the -m option,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
543,A Unified TLS API for Python,
542,Dot Notation Assignment In Function Header,
538,Coercing the legacy C locale to a UTF-8 based locale,
539,A New C-API for Thread-Local Storage in CPython,
540,Add a new UTF-8 Mode,
541,Package Index Name Retention,
533,Deterministic cleanup for iterators,
532,A circuit breaking protocol and binary operators,
535,Rich comparison chaining,
534,Improved Errors for Missing Standard Library Modules,
536,Final Grammar for Literal String Interpolation,
537,Python 3.7 Release Schedule,
529,Change Windows filesystem encoding to UTF-8,
528,Change Windows console encoding to UTF-8,
530,Asynchronous Comprehensions,
531,Existence checking operators,
526,Syntax for Variable Annotations,
527,Removing Un(der)used file types/extensions on PyPI,
522,Allow BlockingIOError in security sensitive APIs,
523,Adding a frame evaluation API to CPython,
524,Make os.urandom() blocking on Linux,
525,Asynchronous Generators,
516,Build system abstraction for pip/conda etc,
517,A build-system independent format for source trees,
518,Specifying Minimum Build System Requirements for Python Projects,
519,Adding a file system path protocol,
520,Preserving Class Attribute Definition Order,
521,Managing global context via ‘with’ blocks in generators and coroutines,
515,Underscores in Numeric Literals,
512,Migrating from hg.python.org to GitHub,
514,Python registration in the Windows registry,
513,A Platform Tag for Portable Linux Built Distributions,
510,Specialize functions with guards,
511,API for code transformers,
506,Adding A Secrets Module To The Standard Library,
507,Migrate CPython to Git and GitLab,
508,Dependency specification for Python Software Packages,
509,Add a private version to dict,
500,A protocol for delegating datetime methods to their tzinfo implementations,
501,General purpose string interpolation,
502,String Interpolation - Extended Discussion,
503,Simple Repository API,
504,Using the System RNG by default,
505,None-aware operators,
499,,
496,Environment Markers,
498,Literal String Interpolation,
497,A standard mechanism for backward compatibility,
494,Python 3.6 Release Schedule,
495,Local Time Disambiguation,
490,Chain exceptions at C level,
491,The Wheel Binary Package Format 1.9,
492,Coroutines with async and await syntax,
493,HTTPS verification migration tools for Python 2.7,
489,Multi-phase extension module initialization,
487,Simpler customisation of class creation,
486,Make the Python Launcher aware of virtual environments,
488,Elimination of PYO files,
483,The Theory of Type Hints,
481,"Migrate CPython to Git, Github, and Phabricator",
482,Literature Overview for Type Hints,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
485,A Function for testing approximate equality,
484,Type Hints,
478,Python 3.5 Release Schedule,
479,Change StopIteration handling inside generators,
477,Backport ensurepip (PEP 453) to Python 2.7,
476,Enabling certificate verification by default for stdlib http clients,
473,Adding structured data to built-in exceptions,
475,Retry system calls failing with EINTR,
472,Support for indexing with keyword arguments,
474,Creating forge.python.org,
471,os.scandir() function – a better and faster directory iterator,
470,Removing External Hosting Support on PyPI,
469,Migration of dict iteration code to Python 3,
467,Minor API improvements for binary sequences,
468,Preserving the order of **kwargs in a function.,
466,Network Security Enhancements for Python 2.7.x,
464,Removal of the PyPI Mirror Authenticity API,
465,A dedicated infix operator for matrix multiplication,
463,Exception-catching expressions,
462,Core development workflow automation for CPython,
460,Add binary interpolation and formatting,
461,Adding % formatting to bytes and bytearray,
456,Secure and interchangeable hash algorithm,
457,Notation For Positional-Only Parameters,
458,Secure PyPI downloads with signed repository metadata,
459,Standard Metadata Extensions for Python Software Packages,
452,API for Cryptographic Hash Functions v2.0,
451,A ModuleSpec Type for the Import System,
455,Adding a key-transforming dictionary to collections,
454,Add a new tracemalloc module to trace Python memory allocations,
453,Explicit bootstrapping of pip in Python installations,
450,Adding A Statistics Module To The Standard Library,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
447,Add __getdescriptor__ method to metaclass,
448,Additional Unpacking Generalizations,
446,Make newly created file descriptors non-inheritable,
442,Safe object finalization,
445,Add new APIs to customize Python memory allocators,
443,Single-dispatch generic functions,
444,Python Web3 Interface,
441,Improving Python ZIP Application Support,
440,Version Identification and Dependency Specification,
439,Inclusion of implicit pip bootstrap in Python installation,
436,The Argument Clinic DSL,
437,"A DSL for specifying signatures, annotations and argument converters",
438,Transitioning to release-file hosting on PyPI,
435,Adding an Enum type to the Python standard library,
434,IDLE Enhancement Exception for All Branches,
433,Easier suppression of file descriptor inheritance,
432,Restructuring the CPython startup sequence,
431,Time zone support improvements,
430,Migrating to Python 3 as the default online documentation,
429,Python 3.4 Release Schedule,
428,The pathlib module – object-oriented filesystem paths,
427,The Wheel Binary Package Format 1.0,
426,Metadata for Python Software Packages 2.0,
425,Compatibility Tags for Built Distributions,
424,A method for exposing a length hint,
422,Simpler customisation of class creation,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
423,Naming conventions and recipes related to packaging,
419,Protecting cleanup statements from interruptions,
417,Including mock in the Standard Library,
416,Add a frozendict builtin type,
418,"Add monotonic time, performance counter, and process time functions",
415,Implement context suppression with exception attributes,
414,Explicit Unicode Literal for Python 3.3,
413,Faster evolution of the Python Standard Library,
412,Key-Sharing Dictionary,
411,Provisional packages in the Python standard library,
409,Suppressing exception context,
410,Use decimal.Decimal type for timestamps,
407,New release cycle and introducing long-term support versions,
408,Standard library __preview__ package,
405,Python Virtual Environments,
404,Python 2.8 Un-release Schedule,
406,Improved Encapsulation of Import State,
403,General purpose decorator clause (aka “@in” clause),
402,Simplified Package Layout and Partitioning,
401,BDFL Retirement,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
399,Pure Python/C Accelerator Module Compatibility Requirements,
398,Python 3.3 Release Schedule,
397,Python launcher for Windows,
396,Module Version Numbers,
395,Qualified Names for Modules,
394,The “python” Command on Unix-Like Systems,
393,Flexible String Representation,
391,Dictionary-Based Configuration For Logging,
392,Python 3.2 Release Schedule,
389,argparse - New Command Line Parsing Module,
387,Backwards Compatibility Policy,
390,Static metadata for Distutils,
386,Changing the version comparison module in Distutils,
384,Defining a Stable ABI,
385,Migrating from Subversion to Mercurial,
383,Non-decodable Bytes in System Character Interfaces,
382,Namespace Packages,
381,Mirroring infrastructure for PyPI,
379,Adding an Assignment Expression,
380,Syntax for Delegating to a Subgenerator,
378,Format Specifier for Thousands Separator,
377,Allow __enter__() methods to skip the statement body,
376,Database of Installed Python Distributions,
375,Python 3.1 Release Schedule,
371,Addition of the multiprocessing package to the standard library,
373,Python 2.7 Release Schedule,
372,Adding an ordered dictionary to collections,
370,Per user site-packages directory,
374,Choosing a distributed VCS for the Python project,
